Start the SDDP algorithm 
Use Papadakos method to generate strong cuts: True 
Generate  cuts with linear relaxation: False 
Generate  WarmUp cuts in SDDP: True 
Generate  cuts with LBF: True 
Generate  cuts with two-stage solution: False 
Use valid inequalities: False 
Run SDDP in a single tree: False 
SDDP setting: 'JustYFix' 
Iteration: 95, Duration: 12608, LB: 5139364.737916382, (exp UB:4893899.984298324),  Gap: -5.02,  Fixed x: True,  Fixed thetavar: True  
Iteration: 96, Duration: 12779, LB: 5139030.757589137, (exp UB:4890579.240355822),  Gap: -5.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 97, Duration: 12932, LB: 5139030.757589136, (exp UB:4893047.559271927),  Gap: -5.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 98, Duration: 13068, LB: 5139030.757589134, (exp UB:5072834.180343826),  Gap: -1.30,  Fixed x: True,  Fixed thetavar: True  
Iteration: 99, Duration: 13204, LB: 5139030.676589139, (exp UB:5272361.221293792),  Gap: 2.53,  Fixed x: True,  Fixed thetavar: True  
Iteration: 100, Duration: 13343, LB: 5139030.676589137, (exp UB:5144593.234728322),  Gap: 0.11,  Fixed x: True,  Fixed thetavar: True  
Iteration: 101, Duration: 13509, LB: 5139030.676589137, (exp UB:4892051.036204742),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 102, Duration: 13646, LB: 5139030.676589135, (exp UB:5109399.323526089),  Gap: -0.58,  Fixed x: True,  Fixed thetavar: True  
Iteration: 103, Duration: 13779, LB: 5139030.676589133, (exp UB:5072532.60391132),  Gap: -1.31,  Fixed x: True,  Fixed thetavar: True  
Iteration: 104, Duration: 13976, LB: 5139030.676589133, (exp UB:4889858.385129455),  Gap: -5.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 105, Duration: 14120, LB: 5139030.676589131, (exp UB:4892204.661386512),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 106, Duration: 14256, LB: 5139030.6765891295, (exp UB:4892501.401941444),  Gap: -5.04,  Fixed x: True,  Fixed thetavar: True  
Iteration: 107, Duration: 14403, LB: 5139030.676589128, (exp UB:4889745.89697821),  Gap: -5.10,  Fixed x: True,  Fixed thetavar: True  
Iteration: 108, Duration: 14572, LB: 5139030.676589126, (exp UB:4892172.3358695395),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 109, Duration: 14734, LB: 5139030.676589124, (exp UB:5154774.715404317),  Gap: 0.31,  Fixed x: True,  Fixed thetavar: True  
Iteration: 110, Duration: 14912, LB: 5139030.676589122, (exp UB:4890019.322950417),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 111, Duration: 15065, LB: 5139030.67658912, (exp UB:4892150.27153212),  Gap: -5.05,  Fixed x: True,  Fixed thetavar: True  
Iteration: 112, Duration: 15200, LB: 5139030.676589118, (exp UB:4890289.130214075),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 113, Duration: 15336, LB: 5139030.676589116, (exp UB:4890242.04417505),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 114, Duration: 15472, LB: 5139030.676589115, (exp UB:4888061.700067488),  Gap: -5.13,  Fixed x: True,  Fixed thetavar: True  
Iteration: 115, Duration: 15597, LB: 5139030.676589113, (exp UB:4889957.807121404),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 116, Duration: 15748, LB: 5139030.676589111, (exp UB:4890495.690909351),  Gap: -5.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 117, Duration: 15871, LB: 5139030.676589109, (exp UB:4894226.569247125),  Gap: -5.00,  Fixed x: True,  Fixed thetavar: True  
Iteration: 118, Duration: 16054, LB: 5139030.676589107, (exp UB:4891536.188436993),  Gap: -5.06,  Fixed x: True,  Fixed thetavar: True  
Iteration: 119, Duration: 16218, LB: 5139030.676589105, (exp UB:5468776.137235522),  Gap: 6.03,  Fixed x: True,  Fixed thetavar: True  
Iteration: 120, Duration: 16365, LB: 5139030.676589103, (exp UB:4891110.83184165),  Gap: -5.07,  Fixed x: True,  Fixed thetavar: True  
Iteration: 121, Duration: 16532, LB: 5139030.676589102, (exp UB:5234507.793241803),  Gap: 1.82,  Fixed x: True,  Fixed thetavar: True  
Iteration: 122, Duration: 16686, LB: 5139030.6765891, (exp UB:4890365.134038121),  Gap: -5.08,  Fixed x: True,  Fixed thetavar: True  
Iteration: 123, Duration: 16819, LB: 5139030.676589098, (exp UB:4890843.426899341),  Gap: -5.07,  Fixed x: True,  Fixed thetavar: True  
Iteration: 124, Duration: 17016, LB: 5139030.676589096, (exp UB:4890289.130214075),  Gap: -5.09,  Fixed x: True,  Fixed thetavar: True  
Iteration: 125, Duration: 17169, LB: 5139030.676589094, (exp UB:4892259.767166746),  Gap: -5.04,  Fixed x: True,  Fixed thetavar: True  
Iteration: 126, Duration: 17290, LB: 5139030.676589092, (exp UB:5108958.130267233),  Gap: -0.59,  Fixed x: True,  Fixed thetavar: True  
Iteration: 127, Duration: 17425, LB: 5139030.67658909, (exp UB:5272361.221293792),  Gap: 2.53,  Fixed x: True,  Fixed thetavar: True  
